PROMPTTYPE,Index,Requirement,Ground Truth,Response,Equivalent
BASIC,5077,repeatedly go_to pear or at some time obtain apple,GF go_to_pear | F obtain_apple,GF(go_to_pear) | F(obtain_apple),True
BASIC,5077,repeatedly go_to pear or at some time obtain apple,GF go_to_pear | F obtain_apple,GF go_to_pear | F obtain_apple,True
BASIC,5077,repeatedly go_to pear or at some time obtain apple,GF go_to_pear | F obtain_apple,GF(go_to_pear) | F(obtain_apple),True
BASIC,5077,repeatedly go_to pear or at some time obtain apple,GF go_to_pear | F obtain_apple,GF go_to_pear | F obtain_apple,True
BASIC,5077,repeatedly go_to pear or at some time obtain apple,GF go_to_pear | F obtain_apple,GF go_to_pear | F obtain_apple,True
BASIC,5077,repeatedly go_to pear or at some time obtain apple,GF go_to_pear | F obtain_apple,GF go_to_pear | F obtain_apple,True
BASIC,5077,repeatedly go_to pear or at some time obtain apple,GF go_to_pear | F obtain_apple,GF(go_to_pear) | F(obtain_apple),True
BASIC,5077,repeatedly go_to pear or at some time obtain apple,GF go_to_pear | F obtain_apple,GF(go_to_pear) | F(obtain_apple),True
BASIC,5077,repeatedly go_to pear or at some time obtain apple,GF go_to_pear | F obtain_apple,GF go_to_pear | F obtain_apple,True
BASIC,5077,repeatedly go_to pear or at some time obtain apple,GF go_to_pear | F obtain_apple,GF(go_to_pear) | F(obtain_apple),True
BASIC,5079,"after both the manager handles requests and the bar is down, in the future the elevator is blocked or a constructor creates instances",G((bar_is_down & manager_handles_requests) -> F(constructor_creates_instances | elevator_is_blocked)),F((manager_handles_requests & bar_is_down) -> F(elevator_is_blocked | constructor_creates_instances)),False
BASIC,5079,"after both the manager handles requests and the bar is down, in the future the elevator is blocked or a constructor creates instances",G((bar_is_down & manager_handles_requests) -> F(constructor_creates_instances | elevator_is_blocked)),F((manager_handles_requests & bar_is_down) -> F(elevator_is_blocked | constructor_creates_instances)),False
BASIC,5079,"after both the manager handles requests and the bar is down, in the future the elevator is blocked or a constructor creates instances",G((bar_is_down & manager_handles_requests) -> F(constructor_creates_instances | elevator_is_blocked)),F((manager_handles_requests & bar_is_down) -> F(elevator_is_blocked | constructor_creates_instances)),False
BASIC,5079,"after both the manager handles requests and the bar is down, in the future the elevator is blocked or a constructor creates instances",G((bar_is_down & manager_handles_requests) -> F(constructor_creates_instances | elevator_is_blocked)),F((manager_handles_requests & bar_is_down) -> F(elevator_is_blocked | constructor_creates_instances)),False
BASIC,5079,"after both the manager handles requests and the bar is down, in the future the elevator is blocked or a constructor creates instances",G((bar_is_down & manager_handles_requests) -> F(constructor_creates_instances | elevator_is_blocked)),F((manager_handles_requests & bar_is_down) & F(elevator_is_blocked | constructor_creates_instances)),False
BASIC,5079,"after both the manager handles requests and the bar is down, in the future the elevator is blocked or a constructor creates instances",G((bar_is_down & manager_handles_requests) -> F(constructor_creates_instances | elevator_is_blocked)),F((manager_handles_requests & bar_is_down) & F(elevator_is_blocked | constructor_creates_instances)),False
BASIC,5079,"after both the manager handles requests and the bar is down, in the future the elevator is blocked or a constructor creates instances",G((bar_is_down & manager_handles_requests) -> F(constructor_creates_instances | elevator_is_blocked)),F((manager_handles_requests & bar_is_down) -> F(elevator_is_blocked | constructor_creates_instances)),False
BASIC,5079,"after both the manager handles requests and the bar is down, in the future the elevator is blocked or a constructor creates instances",G((bar_is_down & manager_handles_requests) -> F(constructor_creates_instances | elevator_is_blocked)),F((manager_handles_requests & bar_is_down) -> F(elevator_is_blocked | constructor_creates_instances)),False
BASIC,5079,"after both the manager handles requests and the bar is down, in the future the elevator is blocked or a constructor creates instances",G((bar_is_down & manager_handles_requests) -> F(constructor_creates_instances | elevator_is_blocked)),F((manager_handles_requests & bar_is_down) & F(elevator_is_blocked | constructor_creates_instances)),False
BASIC,5079,"after both the manager handles requests and the bar is down, in the future the elevator is blocked or a constructor creates instances",G((bar_is_down & manager_handles_requests) -> F(constructor_creates_instances | elevator_is_blocked)),F((manager_handles_requests & bar_is_down) & F(elevator_is_blocked | constructor_creates_instances)),False
BASIC,5081,"Always eventually visit charger_1, and eventually you at house_4 to get box_4 and at house_9 and put it down",GF charger_1 & F(house_4 & F(box_4 & F(house_9 & pd))),G F charger_1 & F (house_4 & box_4 & F (house_9 & pd)),False
BASIC,5081,"Always eventually visit charger_1, and eventually you at house_4 to get box_4 and at house_9 and put it down",GF charger_1 & F(house_4 & F(box_4 & F(house_9 & pd))),GF charger_1 & F (house_4 & box_4 & F (house_9 & pd)),False
BASIC,5081,"Always eventually visit charger_1, and eventually you at house_4 to get box_4 and at house_9 and put it down",GF charger_1 & F(house_4 & F(box_4 & F(house_9 & pd))),GF charger_1 & F (house_4 & box_4 & F (house_9 & pd)),False
BASIC,5081,"Always eventually visit charger_1, and eventually you at house_4 to get box_4 and at house_9 and put it down",GF charger_1 & F(house_4 & F(box_4 & F(house_9 & pd))),GF(charger_1) & F(house_4 & box_4 & F(house_9 & pd)),False
BASIC,5081,"Always eventually visit charger_1, and eventually you at house_4 to get box_4 and at house_9 and put it down",GF charger_1 & F(house_4 & F(box_4 & F(house_9 & pd))),GF charger_1 & F(house_4 & box_4 & F(house_9 & pd)),False
BASIC,5081,"Always eventually visit charger_1, and eventually you at house_4 to get box_4 and at house_9 and put it down",GF charger_1 & F(house_4 & F(box_4 & F(house_9 & pd))),GF(charger_1) & F(house_4 & box_4 & F(house_9 & pd)),False
BASIC,5081,"Always eventually visit charger_1, and eventually you at house_4 to get box_4 and at house_9 and put it down",GF charger_1 & F(house_4 & F(box_4 & F(house_9 & pd))),GF(charger_1) & F(house_4 & box_4 & F(house_9 & pd)),False
BASIC,5081,"Always eventually visit charger_1, and eventually you at house_4 to get box_4 and at house_9 and put it down",GF charger_1 & F(house_4 & F(box_4 & F(house_9 & pd))),GF charger_1 & F(house_4 & box_4 & F(house_9 & pd)),False
BASIC,5081,"Always eventually visit charger_1, and eventually you at house_4 to get box_4 and at house_9 and put it down",GF charger_1 & F(house_4 & F(box_4 & F(house_9 & pd))),G F charger_1 & F (house_4 & box_4 & F (house_9 & pd)),False
BASIC,5081,"Always eventually visit charger_1, and eventually you at house_4 to get box_4 and at house_9 and put it down",GF charger_1 & F(house_4 & F(box_4 & F(house_9 & pd))),GF charger_1 & F(house_4 & box_4 & F(house_9 & pd)),False
BASIC,5082,"first, in the future the engine stops or a train is crossing, and then, sooner or later a bridge closes",G!(engine_stops | train_is_crossing) | F((engine_stops | train_is_crossing) & F bridge_closes),F(engine_stops | train_is_crossing) & F(F(bridge_closes)),False
BASIC,5082,"first, in the future the engine stops or a train is crossing, and then, sooner or later a bridge closes",G!(engine_stops | train_is_crossing) | F((engine_stops | train_is_crossing) & F bridge_closes),F(engine_stops | train_is_crossing) & F(F(engine_stops | train_is_crossing) -> F bridge_closes),False
BASIC,5082,"first, in the future the engine stops or a train is crossing, and then, sooner or later a bridge closes",G!(engine_stops | train_is_crossing) | F((engine_stops | train_is_crossing) & F bridge_closes),F(engine_stops | train_is_crossing) & F(F(bridge_closes)),False
BASIC,5082,"first, in the future the engine stops or a train is crossing, and then, sooner or later a bridge closes",G!(engine_stops | train_is_crossing) | F((engine_stops | train_is_crossing) & F bridge_closes),F(engine_stops | train_is_crossing) & F(F(bridge_closes)),False
BASIC,5082,"first, in the future the engine stops or a train is crossing, and then, sooner or later a bridge closes",G!(engine_stops | train_is_crossing) | F((engine_stops | train_is_crossing) & F bridge_closes),F(engine_stops | train_is_crossing) & F(F(bridge_closes)),False
BASIC,5082,"first, in the future the engine stops or a train is crossing, and then, sooner or later a bridge closes",G!(engine_stops | train_is_crossing) | F((engine_stops | train_is_crossing) & F bridge_closes),F(engine_stops | train_is_crossing) & F(F(bridge_closes)),False
BASIC,5082,"first, in the future the engine stops or a train is crossing, and then, sooner or later a bridge closes",G!(engine_stops | train_is_crossing) | F((engine_stops | train_is_crossing) & F bridge_closes),F(engine_stops | train_is_crossing) & F(F(bridge_closes)),False
BASIC,5082,"first, in the future the engine stops or a train is crossing, and then, sooner or later a bridge closes",G!(engine_stops | train_is_crossing) | F((engine_stops | train_is_crossing) & F bridge_closes),F(engine_stops | train_is_crossing) & F(F(engine_stops | train_is_crossing) -> F bridge_closes),False
BASIC,5082,"first, in the future the engine stops or a train is crossing, and then, sooner or later a bridge closes",G!(engine_stops | train_is_crossing) | F((engine_stops | train_is_crossing) & F bridge_closes),F(engine_stops | train_is_crossing) & F(F(engine_stops | train_is_crossing) -> F bridge_closes),False
BASIC,5082,"first, in the future the engine stops or a train is crossing, and then, sooner or later a bridge closes",G!(engine_stops | train_is_crossing) | F((engine_stops | train_is_crossing) & F bridge_closes),F(engine_stops | train_is_crossing) & F(F(bridge_closes)),False
BASIC,5084,"Do not enter building 3 until you arrive at garage 3, and once there, remain in building 3",(!building_3 U garage_3) & FG building_3,(!building_3 U garage_3) & G(garage_3 -> G building_3),False
BASIC,5084,"Do not enter building 3 until you arrive at garage 3, and once there, remain in building 3",(!building_3 U garage_3) & FG building_3,(!building_3 U garage_3) & G(garage_3 -> G building_3),False
BASIC,5084,"Do not enter building 3 until you arrive at garage 3, and once there, remain in building 3",(!building_3 U garage_3) & FG building_3,(!building_3 U garage_3) & G(garage_3 -> G building_3),False
BASIC,5084,"Do not enter building 3 until you arrive at garage 3, and once there, remain in building 3",(!building_3 U garage_3) & FG building_3,(!building_3 U garage_3) & F(garage_3 & G building_3),False
BASIC,5084,"Do not enter building 3 until you arrive at garage 3, and once there, remain in building 3",(!building_3 U garage_3) & FG building_3,(!building_3 U garage_3) & G(garage_3 -> G building_3),False
BASIC,5084,"Do not enter building 3 until you arrive at garage 3, and once there, remain in building 3",(!building_3 U garage_3) & FG building_3,(!building_3 U garage_3) & (G(garage_3 -> G building_3)),False
BASIC,5084,"Do not enter building 3 until you arrive at garage 3, and once there, remain in building 3",(!building_3 U garage_3) & FG building_3,(!building_3 U garage_3) & G(garage_3 -> G building_3),False
BASIC,5084,"Do not enter building 3 until you arrive at garage 3, and once there, remain in building 3",(!building_3 U garage_3) & FG building_3,(!building_3 U garage_3) & G(garage_3 -> G building_3),False
BASIC,5084,"Do not enter building 3 until you arrive at garage 3, and once there, remain in building 3",(!building_3 U garage_3) & FG building_3,(!building_3 U garage_3) & (F(garage_3 & G building_3)),False
BASIC,5084,"Do not enter building 3 until you arrive at garage 3, and once there, remain in building 3",(!building_3 U garage_3) & FG building_3,(!building_3 U garage_3) & F(garage_3 & G building_3),False
BASIC,5085,if both the table is old and the constructor creates instances then sooner or later either the car stops or the escalator is blocked,G((constructor_creates_instances & table_is_old) -> F(car_stops | escalator_is_blocked)),(table_is_old & constructor_creates_instances) -> F(car_stops | escalator_is_blocked),False
BASIC,5085,if both the table is old and the constructor creates instances then sooner or later either the car stops or the escalator is blocked,G((constructor_creates_instances & table_is_old) -> F(car_stops | escalator_is_blocked)),(table_is_old & constructor_creates_instances) -> F(car_stops | escalator_is_blocked),False
BASIC,5085,if both the table is old and the constructor creates instances then sooner or later either the car stops or the escalator is blocked,G((constructor_creates_instances & table_is_old) -> F(car_stops | escalator_is_blocked)),(table_is_old & constructor_creates_instances) -> F(car_stops | escalator_is_blocked),False
BASIC,5085,if both the table is old and the constructor creates instances then sooner or later either the car stops or the escalator is blocked,G((constructor_creates_instances & table_is_old) -> F(car_stops | escalator_is_blocked)),(table_is_old & constructor_creates_instances) -> F(car_stops | escalator_is_blocked),False
BASIC,5085,if both the table is old and the constructor creates instances then sooner or later either the car stops or the escalator is blocked,G((constructor_creates_instances & table_is_old) -> F(car_stops | escalator_is_blocked)),(table_is_old & constructor_creates_instances) -> F(car_stops | escalator_is_blocked),False
BASIC,5085,if both the table is old and the constructor creates instances then sooner or later either the car stops or the escalator is blocked,G((constructor_creates_instances & table_is_old) -> F(car_stops | escalator_is_blocked)),(table_is_old & constructor_creates_instances) -> F(car_stops | escalator_is_blocked),False
BASIC,5085,if both the table is old and the constructor creates instances then sooner or later either the car stops or the escalator is blocked,G((constructor_creates_instances & table_is_old) -> F(car_stops | escalator_is_blocked)),((table_is_old & constructor_creates_instances) -> F(car_stops | escalator_is_blocked)),False
BASIC,5085,if both the table is old and the constructor creates instances then sooner or later either the car stops or the escalator is blocked,G((constructor_creates_instances & table_is_old) -> F(car_stops | escalator_is_blocked)),(table_is_old & constructor_creates_instances) -> F (car_stops | escalator_is_blocked),False
BASIC,5085,if both the table is old and the constructor creates instances then sooner or later either the car stops or the escalator is blocked,G((constructor_creates_instances & table_is_old) -> F(car_stops | escalator_is_blocked)),((table_is_old & constructor_creates_instances) -> F(car_stops | escalator_is_blocked)),False
BASIC,5085,if both the table is old and the constructor creates instances then sooner or later either the car stops or the escalator is blocked,G((constructor_creates_instances & table_is_old) -> F(car_stops | escalator_is_blocked)),(table_is_old & constructor_creates_instances) -> F (car_stops | escalator_is_blocked),False
BASIC,5087,Staying in parking lot 9 at all times,G parking_lot_9,G parking_lot_9,True
BASIC,5087,Staying in parking lot 9 at all times,G parking_lot_9,G(parking_lot_9),True
BASIC,5087,Staying in parking lot 9 at all times,G parking_lot_9,G parking_lot_9,True
BASIC,5087,Staying in parking lot 9 at all times,G parking_lot_9,G parking_lot_9,True
BASIC,5087,Staying in parking lot 9 at all times,G parking_lot_9,G parking_lot_9,True
BASIC,5087,Staying in parking lot 9 at all times,G parking_lot_9,G parking_lot_9,True
BASIC,5087,Staying in parking lot 9 at all times,G parking_lot_9,G parking_lot_9,True
BASIC,5087,Staying in parking lot 9 at all times,G parking_lot_9,G(parking_lot_9),True
BASIC,5087,Staying in parking lot 9 at all times,G parking_lot_9,G parking_lot_9,True
BASIC,5087,Staying in parking lot 9 at all times,G parking_lot_9,G parking_lot_9,True
BASIC,5088,at some time advance_to house and hold pear,hold_pear & F advance_to_house,F(advance_to_house & hold_pear),False
BASIC,5088,at some time advance_to house and hold pear,hold_pear & F advance_to_house,F(advance_to_house & hold_pear),False
BASIC,5088,at some time advance_to house and hold pear,hold_pear & F advance_to_house,F(advance_to_house & hold_pear),False
BASIC,5088,at some time advance_to house and hold pear,hold_pear & F advance_to_house,F(advance_to_house & hold_pear),False
BASIC,5088,at some time advance_to house and hold pear,hold_pear & F advance_to_house,F(advance_to_house & hold_pear),False
BASIC,5088,at some time advance_to house and hold pear,hold_pear & F advance_to_house,F(advance_to_house & hold_pear),False
BASIC,5088,at some time advance_to house and hold pear,hold_pear & F advance_to_house,F (advance_to_house & hold_pear),False
BASIC,5088,at some time advance_to house and hold pear,hold_pear & F advance_to_house,F(advance_to_house & hold_pear),False
BASIC,5088,at some time advance_to house and hold pear,hold_pear & F advance_to_house,F(advance_to_house & hold_pear),False
BASIC,5088,at some time advance_to house and hold pear,hold_pear & F advance_to_house,F(advance_to_house & hold_pear),False
BASIC,5089,never let_go and when possible touch tree,G!let_go & F touch_tree,G(!let_go) & F(touch_tree),True
BASIC,5089,never let_go and when possible touch tree,G!let_go & F touch_tree,G(!let_go) & F(touch_tree),True
BASIC,5089,never let_go and when possible touch tree,G!let_go & F touch_tree,G(!let_go) & F(touch_tree),True
BASIC,5089,never let_go and when possible touch tree,G!let_go & F touch_tree,G(!let_go) & F(touch_tree),True
BASIC,5089,never let_go and when possible touch tree,G!let_go & F touch_tree,G(!let_go) & F(touch_tree),True
BASIC,5089,never let_go and when possible touch tree,G!let_go & F touch_tree,G(!let_go) & GF(touch_tree),False
BASIC,5089,never let_go and when possible touch tree,G!let_go & F touch_tree,G(!let_go) & F(touch_tree),True
BASIC,5089,never let_go and when possible touch tree,G!let_go & F touch_tree,G(!let_go) & F(touch_tree),True
BASIC,5089,never let_go and when possible touch tree,G!let_go & F touch_tree,G(!let_go) & F(touch_tree),True
BASIC,5089,never let_go and when possible touch tree,G!let_go & F touch_tree,G(!let_go) & F(touch_tree),True
BASIC,5091,at no time the bar has to be repaired and together a train has arrived and the escalator speeds up,G!(bar_has_to_be_repaired & escalator_speeds_up & train_has_arrived),G!(bar_has_to_be_repaired & train_has_arrived & escalator_speeds_up),True
BASIC,5091,at no time the bar has to be repaired and together a train has arrived and the escalator speeds up,G!(bar_has_to_be_repaired & escalator_speeds_up & train_has_arrived),G(!(bar_has_to_be_repaired & train_has_arrived & escalator_speeds_up)),True
BASIC,5091,at no time the bar has to be repaired and together a train has arrived and the escalator speeds up,G!(bar_has_to_be_repaired & escalator_speeds_up & train_has_arrived),G(!(bar_has_to_be_repaired & train_has_arrived & escalator_speeds_up)),True
BASIC,5091,at no time the bar has to be repaired and together a train has arrived and the escalator speeds up,G!(bar_has_to_be_repaired & escalator_speeds_up & train_has_arrived),G!(bar_has_to_be_repaired & train_has_arrived & escalator_speeds_up),True
BASIC,5091,at no time the bar has to be repaired and together a train has arrived and the escalator speeds up,G!(bar_has_to_be_repaired & escalator_speeds_up & train_has_arrived),G(!(bar_has_to_be_repaired & train_has_arrived & escalator_speeds_up)),True
BASIC,5091,at no time the bar has to be repaired and together a train has arrived and the escalator speeds up,G!(bar_has_to_be_repaired & escalator_speeds_up & train_has_arrived),G(!(bar_has_to_be_repaired & train_has_arrived & escalator_speeds_up)),True
BASIC,5091,at no time the bar has to be repaired and together a train has arrived and the escalator speeds up,G!(bar_has_to_be_repaired & escalator_speeds_up & train_has_arrived),G(!(bar_has_to_be_repaired & train_has_arrived & escalator_speeds_up)),True
BASIC,5091,at no time the bar has to be repaired and together a train has arrived and the escalator speeds up,G!(bar_has_to_be_repaired & escalator_speeds_up & train_has_arrived),G(!(bar_has_to_be_repaired & train_has_arrived & escalator_speeds_up)),True
BASIC,5091,at no time the bar has to be repaired and together a train has arrived and the escalator speeds up,G!(bar_has_to_be_repaired & escalator_speeds_up & train_has_arrived),G(!(bar_has_to_be_repaired & train_has_arrived & escalator_speeds_up)),True
BASIC,5091,at no time the bar has to be repaired and together a train has arrived and the escalator speeds up,G!(bar_has_to_be_repaired & escalator_speeds_up & train_has_arrived),G(!(bar_has_to_be_repaired & train_has_arrived & escalator_speeds_up)),True
BASIC,5093,go_by waste bin until go_by waste bin,go_by_waste_bin,go_by_waste_bin U go_by_waste_bin,True
BASIC,5093,go_by waste bin until go_by waste bin,go_by_waste_bin,go_by_waste_bin U go_by_waste_bin,True
BASIC,5093,go_by waste bin until go_by waste bin,go_by_waste_bin,go_by_waste_bin U go_by_waste_bin,True
BASIC,5093,go_by waste bin until go_by waste bin,go_by_waste_bin,go_by_waste_bin U go_by_waste_bin,True
BASIC,5093,go_by waste bin until go_by waste bin,go_by_waste_bin,(go_by_waste_bin) U (go_by_waste_bin),True
BASIC,5093,go_by waste bin until go_by waste bin,go_by_waste_bin,go_by_waste_bin U go_by_waste_bin,True
BASIC,5093,go_by waste bin until go_by waste bin,go_by_waste_bin,(go_by_waste_bin) U (go_by_waste_bin),True
BASIC,5093,go_by waste bin until go_by waste bin,go_by_waste_bin,go_by_waste_bin U go_by_waste_bin,True
BASIC,5093,go_by waste bin until go_by waste bin,go_by_waste_bin,(go_by_waste_bin) U (go_by_waste_bin),True
BASIC,5093,go_by waste bin until go_by waste bin,go_by_waste_bin,go_by_waste_bin U go_by_waste_bin,True
BASIC,5095,Avoid picking up cone 2 until you have reached intersection 4,!p_cone_2 U intersection_4,!p_cone_2 U intersection_4,True
BASIC,5095,Avoid picking up cone 2 until you have reached intersection 4,!p_cone_2 U intersection_4,(!p_cone_2) U intersection_4,True
BASIC,5095,Avoid picking up cone 2 until you have reached intersection 4,!p_cone_2 U intersection_4,!p_cone_2 U intersection_4,True
BASIC,5095,Avoid picking up cone 2 until you have reached intersection 4,!p_cone_2 U intersection_4,!p_cone_2 U intersection_4,True
BASIC,5095,Avoid picking up cone 2 until you have reached intersection 4,!p_cone_2 U intersection_4,!p_cone_2 U intersection_4,True
BASIC,5095,Avoid picking up cone 2 until you have reached intersection 4,!p_cone_2 U intersection_4,(!p_cone_2) U intersection_4,True
BASIC,5095,Avoid picking up cone 2 until you have reached intersection 4,!p_cone_2 U intersection_4,!p_cone_2 U intersection_4,True
BASIC,5095,Avoid picking up cone 2 until you have reached intersection 4,!p_cone_2 U intersection_4,(!p_cone_2) U intersection_4,True
BASIC,5095,Avoid picking up cone 2 until you have reached intersection 4,!p_cone_2 U intersection_4,(!p_cone_2) U intersection_4,True
BASIC,5095,Avoid picking up cone 2 until you have reached intersection 4,!p_cone_2 U intersection_4,!p_cone_2 U intersection_4,True
BASIC,5096,venture_towards house and never drop apple,venture_towards_house & G!drop_apple,venture_towards_house & G(!drop_apple),True
BASIC,5096,venture_towards house and never drop apple,venture_towards_house & G!drop_apple,venture_towards_house & G(!drop_apple),True
BASIC,5096,venture_towards house and never drop apple,venture_towards_house & G!drop_apple,venture_towards_house & G(!drop_apple),True
BASIC,5096,venture_towards house and never drop apple,venture_towards_house & G!drop_apple,venture_towards_house & G(!drop_apple),True
BASIC,5096,venture_towards house and never drop apple,venture_towards_house & G!drop_apple,venture_towards_house & G(!drop_apple),True
BASIC,5096,venture_towards house and never drop apple,venture_towards_house & G!drop_apple,venture_towards_house & G(!drop_apple),True
