PROMPTTYPE,Index,Requirement,Ground Truth,Response,Equivalent
ADARULE,7,The autopilot shall change states from TRANSITION to NOMINAL when the system is supported and sensor data is good.,G(good & supported -> F(state_is_NOMINAL)),G((supported & good) -> F(state_is_NOMINAL)),True
ADARULE,7,The autopilot shall change states from TRANSITION to NOMINAL when the system is supported and sensor data is good.,G(good & supported -> F(state_is_NOMINAL)),G((supported & good) -> F(state_is_NOMINAL)),True
ADARULE,7,The autopilot shall change states from TRANSITION to NOMINAL when the system is supported and sensor data is good.,G(good & supported -> F(state_is_NOMINAL)),G((supported & good) -> F(state_is_NOMINAL)),True
ADARULE,7,The autopilot shall change states from TRANSITION to NOMINAL when the system is supported and sensor data is good.,G(good & supported -> F(state_is_NOMINAL)),G((supported & good) -> F(state_is_NOMINAL)),True
ADARULE,7,The autopilot shall change states from TRANSITION to NOMINAL when the system is supported and sensor data is good.,G(good & supported -> F(state_is_NOMINAL)),G((supported & good) -> F(state_is_NOMINAL)),True
ADARULE,7,The autopilot shall change states from TRANSITION to NOMINAL when the system is supported and sensor data is good.,G(good & supported -> F(state_is_NOMINAL)),G((state_is_TRANSITION & supported & good) -> F(state_is_NOMINAL)),False
ADARULE,7,The autopilot shall change states from TRANSITION to NOMINAL when the system is supported and sensor data is good.,G(good & supported -> F(state_is_NOMINAL)),G((supported & good) -> F(state_is_NOMINAL)),True
ADARULE,7,The autopilot shall change states from TRANSITION to NOMINAL when the system is supported and sensor data is good.,G(good & supported -> F(state_is_NOMINAL)),G((supported & good) -> F(state_is_NOMINAL)),True
ADARULE,7,The autopilot shall change states from TRANSITION to NOMINAL when the system is supported and sensor data is good.,G(good & supported -> F(state_is_NOMINAL)),G((supported & good) -> F(state_is_NOMINAL)),True
ADARULE,7,The autopilot shall change states from TRANSITION to NOMINAL when the system is supported and sensor data is good.,G(good & supported -> F(state_is_NOMINAL)),G((supported & good) -> F(state_is_NOMINAL)),True
ADARULE,7,The autopilot shall change states from TRANSITION to NOMINAL when the system is supported and sensor data is good.,G(good & supported -> F(state_is_NOMINAL)),G((supported & good) -> F(state_is_NOMINAL)),True
ADARULE,7,The autopilot shall change states from TRANSITION to NOMINAL when the system is supported and sensor data is good.,G(good & supported -> F(state_is_NOMINAL)),G((supported & good) -> F(state_is_NOMINAL)),True
ADARULE,7,The autopilot shall change states from TRANSITION to NOMINAL when the system is supported and sensor data is good.,G(good & supported -> F(state_is_NOMINAL)),G((supported & good) -> F(state_is_NOMINAL)),True
ADARULE,7,The autopilot shall change states from TRANSITION to NOMINAL when the system is supported and sensor data is good.,G(good & supported -> F(state_is_NOMINAL)),G((state_is_TRANSITION & supported & good) -> F(state_is_NOMINAL)),False
ADARULE,7,The autopilot shall change states from TRANSITION to NOMINAL when the system is supported and sensor data is good.,G(good & supported -> F(state_is_NOMINAL)),G((supported & good) -> F(state_is_NOMINAL)),True
